Zone,Family,Member,Link,Collected
Zangarmarsh,Ray,"Count" Ungula,https://www.wow-petopia.com/npc.php?id=18285, N
Zangarmarsh,Wasp,Blacksting,https://www.wow-petopia.com/npc.php?id=18283, N
Zangarmarsh,Water Strider,Boglash,https://www.wow-petopia.com/npc.php?id=18281, N
Zangarmarsh,Water Strider,Marticar,https://www.wow-petopia.com/npc.php?id=18680, N
Zangarmarsh,Hydra,Mragesh,https://www.wow-petopia.com/npc.php?id=18286, N
Zangarmarsh,Sporebat,Sporewing,https://www.wow-petopia.com/npc.php?id=18280, N
Un'Goro Crater,Mechanical,A-Me 02,https://www.wow-petopia.com/npc.php?id=107836, N
Un'Goro Crater,Aqiri,Clutchmother Zavas,https://www.wow-petopia.com/npc.php?id=6582, N
Un'Goro Crater,Aqiri,Gorishi Fledgling Colossus,https://www.wow-petopia.com/npc.php?id=38305, N
Un'Goro Crater,Scalehide,Gruff,https://www.wow-petopia.com/npc.php?id=6583, N
Un'Goro Crater,Devilsaur,King Mosh,https://www.wow-petopia.com/npc.php?id=6584, N
Un'Goro Crater,Raptor,Lar'korwi,https://www.wow-petopia.com/npc.php?id=9684, N
Un'Goro Crater,Raptor,Ravasaur Matriarch,https://www.wow-petopia.com/npc.php?id=6581, N
Un'Goro Crater,Gorilla,U'cha,https://www.wow-petopia.com/npc.php?id=9622, N
Un'Goro Crater,Gorilla,Uhk'loc,https://www.wow-petopia.com/npc.php?id=6585, N
Island Expeditions (Scenario),Crab,Abyss Crawler,https://www.wow-petopia.com/npc.php?id=134798, N
Island Expeditions (Scenario),Crab,Fathomclaw,https://www.wow-petopia.com/npc.php?id=134799, N
Island Expeditions (Scenario),Hound,Blazeseeker,https://www.wow-petopia.com/npc.php?id=140560, N
Island Expeditions (Scenario),Hound,Soul Hunter,https://www.wow-petopia.com/npc.php?id=138851, N
Island Expeditions (Scenario),Serpent,Bloodbore,https://www.wow-petopia.com/npc.php?id=140692, N
Island Expeditions (Scenario),Wolf,Bloodscent the Tracker,https://www.wow-petopia.com/npc.php?id=140070, N
Island Expeditions (Scenario),Wolf,Dampfur the Musky,https://www.wow-petopia.com/npc.php?id=140296, N
Island Expeditions (Scenario),Wolf,Direprowl the Ravager,https://www.wow-petopia.com/npc.php?id=140072, N
Island Expeditions (Scenario),Wolf,Gol'kun the Vicious,https://www.wow-petopia.com/npc.php?id=140298, N
Island Expeditions (Scenario),Wolf,Old One-Fang,https://www.wow-petopia.com/npc.php?id=140071, N
Island Expeditions (Scenario),Wolf,Ripshread,https://www.wow-petopia.com/npc.php?id=140300, N
Island Expeditions (Scenario),Wolf,Scarpaw,https://www.wow-petopia.com/npc.php?id=140301, N
Island Expeditions (Scenario),Hopper,Bogbelcher,https://www.wow-petopia.com/npc.php?id=144827, N
Island Expeditions (Scenario),Hopper,Man-Eater,https://www.wow-petopia.com/npc.php?id=144826, N
Island Expeditions (Scenario),Hopper,Thundercroak,https://www.wow-petopia.com/npc.php?id=144829, N
Island Expeditions (Scenario),Hopper,Whiptongue,https://www.wow-petopia.com/npc.php?id=144833, N
Island Expeditions (Scenario),Hopper,Yaz'za the Devourer,https://www.wow-petopia.com/npc.php?id=144830, N
Island Expeditions (Scenario),Basilisk,Dustfang,https://www.wow-petopia.com/npc.php?id=130338, N
Island Expeditions (Scenario),Basilisk,Gorespike,https://www.wow-petopia.com/npc.php?id=130584, N
Island Expeditions (Scenario),Lesser Dragonkin,Skycrack,https://www.wow-petopia.com/npc.php?id=139486, N
Azj-Kahet,Serpent,Abyssal Devourer,https://www.wow-petopia.com/npc.php?id=216031, N
Azj-Kahet,Beetle,Maddened Siegebomber,https://www.wow-petopia.com/npc.php?id=216044, N
Azj-Kahet,Blood Beast,Vilewing,https://www.wow-petopia.com/npc.php?id=216037, N
Azj-Kahet,Spider,Xishorr,https://www.wow-petopia.com/npc.php?id=216039, N
Silithus,Serpent,Acroniss,https://www.wow-petopia.com/npc.php?id=50737, N
Silithus,Aqiri,Bornix the Burrower,https://www.wow-petopia.com/npc.php?id=50746, N
Silithus,Aqiri,Lapress,https://www.wow-petopia.com/npc.php?id=14473, N
Silithus,Aqiri,Losaj,https://www.wow-petopia.com/npc.php?id=50745, N
Silithus,Aqiri,Manax,https://www.wow-petopia.com/npc.php?id=50743, N
Silithus,Aqiri,Qem,https://www.wow-petopia.com/npc.php?id=50742, N
Silithus,Aqiri,Qroshekx,https://www.wow-petopia.com/npc.php?id=132578, N
Silithus,Aqiri,Qu'rik,https://www.wow-petopia.com/npc.php?id=50744, N
Silithus,Aqiri,Ssinkrix,https://www.wow-petopia.com/npc.php?id=132580, N
Silithus,Aqiri,Tix,https://www.wow-petopia.com/npc.php?id=50747, N
Silithus,Aqiri,Xaarshej,https://www.wow-petopia.com/npc.php?id=132584, N
Silithus,Scorpid,Deathclasp,https://www.wow-petopia.com/npc.php?id=15196, N
Silithus,Scorpid,Krellack,https://www.wow-petopia.com/npc.php?id=14476, N
Silithus,Scorpid,Toxx,https://www.wow-petopia.com/npc.php?id=51004, N
Silithus,Wasp,Ffexk the Dunestalker,https://www.wow-petopia.com/npc.php?id=50897, N
Silithus,Wasp,Rex Ashil,https://www.wow-petopia.com/npc.php?id=14475, N
Silithus,Wasp,Zora,https://www.wow-petopia.com/npc.php?id=14474, N
Silithus,Spider,Gretheer,https://www.wow-petopia.com/npc.php?id=14472, N
Silithus,Worm,Grubthor,https://www.wow-petopia.com/npc.php?id=14477, N
Silithus,Ravager,Karapax,https://www.wow-petopia.com/npc.php?id=50370, N
Ragefire Chasm (Dungeon),Hound,Adarogg,https://www.wow-petopia.com/npc.php?id=61408, N
Northern Stranglethorn,Crab,Adult Truesilver Crab,https://www.wow-petopia.com/npc.php?id=101624, N
Northern Stranglethorn,Cat,Bhag'thera,https://www.wow-petopia.com/npc.php?id=728, N
Northern Stranglethorn,Cat,King Bangalash,https://www.wow-petopia.com/npc.php?id=731, N
Northern Stranglethorn,Cat,Pogeyan,https://www.wow-petopia.com/npc.php?id=51663, N
Northern Stranglethorn,Cat,Sin'Dall,https://www.wow-petopia.com/npc.php?id=729, N
Northern Stranglethorn,Crocolisk,Mahamba,https://www.wow-petopia.com/npc.php?id=51662, N
Northern Stranglethorn,Raptor,Tethis,https://www.wow-petopia.com/npc.php?id=730, N
Northern Stranglethorn,Gorilla,Tsul'Kalu,https://www.wow-petopia.com/npc.php?id=51661, N
Bastion,Courser,Aethon,https://www.wow-petopia.com/npc.php?id=161528, N
Bastion,Feathermane,Ariella,https://www.wow-petopia.com/npc.php?id=164819, N
Bastion,Feathermane,Basilofos, King of the Hill,https://www.wow-petopia.com/npc.php?id=170659, N
Bastion,Feathermane,Kala,https://www.wow-petopia.com/npc.php?id=158254, N
Bastion,Feathermane,Leonid,https://www.wow-petopia.com/npc.php?id=159612, N
Bastion,Feathermane, Nemaeus,https://www.wow-petopia.com/npc.php?id=161529, N
Bastion,Carrion Bird,Cloudfeather Guardian,https://www.wow-petopia.com/npc.php?id=170932, N
Bastion,Carrion Bird,Darkwing,https://www.wow-petopia.com/npc.php?id=168402, N
Bastion,Fox,Cloudtail,https://www.wow-petopia.com/npc.php?id=161530, N
Bastion,Waterfowl,Gorgebeak,https://www.wow-petopia.com/npc.php?id=168240, N
Bastion,Chimaera,Marrowmaw,https://www.wow-petopia.com/npc.php?id=167433, N
Bastion,Wind Serpent,Ravenous Etherwyrm,https://www.wow-petopia.com/npc.php?id=158771, N
Bastion,Wind Serpent,Vyrm the Ravenous,https://www.wow-petopia.com/npc.php?id=158179, N
Bastion,Turtle,Sigilback,https://www.wow-petopia.com/npc.php?id=161527, N
Tanaris,Aqiri,Ainamiss the Hive Queen,https://www.wow-petopia.com/npc.php?id=47386, N
Tanaris,Aqiri,Haarka the Ravenous,https://www.wow-petopia.com/npc.php?id=8205, N
Tanaris,Aqiri,Harakiss the Infestor,https://www.wow-petopia.com/npc.php?id=47387, N
Tanaris,Aqiri,Sarinexx,https://www.wow-petopia.com/npc.php?id=39149, N
Tanaris,Aqiri,Soriid the Devourer,https://www.wow-petopia.com/npc.php?id=8204, N
Tanaris,Carrion Bird,Emberwing,https://www.wow-petopia.com/npc.php?id=8207, N
Tanaris,Scorpid,Gargantapid,https://www.wow-petopia.com/npc.php?id=40581, N
Tanaris,Scorpid,Scorpitar,https://www.wow-petopia.com/npc.php?id=39183, N
Tanaris,Basilisk,Hellgazer,https://www.wow-petopia.com/npc.php?id=39186, N
Tanaris,Hyena,Slaverjaw,https://www.wow-petopia.com/npc.php?id=39185, N
Vol'dun,Pterrordax,Ak'tar,https://www.wow-petopia.com/npc.php?id=135852, N
Vol'dun,Hyena,Ashmane,https://www.wow-petopia.com/npc.php?id=130439, N
Vol'dun,Hyena,Gnarl,https://www.wow-petopia.com/npc.php?id=135338, N
Vol'dun,Hyena,Snarl,https://www.wow-petopia.com/npc.php?id=135339, N
Vol'dun,Hyena,Snarltooth,https://www.wow-petopia.com/npc.php?id=126644, N
Vol'dun,Carapid,Bloated Krolusk,https://www.wow-petopia.com/npc.php?id=129476, N
Vol'dun,Carapid,Enraged Krolusk,https://www.wow-petopia.com/npc.php?id=136335, N
Vol'dun,Lizard,Bloodcrest,https://www.wow-petopia.com/npc.php?id=133853, N
Vol'dun,Lizard,Scaleclaw Broodmother,https://www.wow-petopia.com/npc.php?id=127776, N
Vol'dun,Carrion Bird,Bloodwing Bonepicker,https://www.wow-petopia.com/npc.php?id=136393, N
Vol'dun,Carrion Bird,Gutgut,https://www.wow-petopia.com/npc.php?id=138596, N
Vol'dun,Serpent,Colossal Water Cobra,https://www.wow-petopia.com/npc.php?id=127169, N
Vol'dun,Serpent,Sevriss,https://www.wow-petopia.com/npc.php?id=136593, N
Vol'dun,Serpent,Vathikur,https://www.wow-petopia.com/npc.php?id=130401, N
Vol'dun,Devilsaur,Dunegorger Kraulok,https://www.wow-petopia.com/npc.php?id=138794, N
Vol'dun,Bird of Prey,First Mate Swainbeak,https://www.wow-petopia.com/npc.php?id=133843, N
Vol'dun,Hydra,Golanar,https://www.wow-petopia.com/npc.php?id=129027, N
Vol'dun,Wasp,Hivemother Kraxi,https://www.wow-petopia.com/npc.php?id=130443, N
Vol'dun,Crab,Jumbo Sandsnapper,https://www.wow-petopia.com/npc.php?id=129283, N
Vol'dun,Crab,King Clickyclack,https://www.wow-petopia.com/npc.php?id=137681, N
Vol'dun,Spider,Jungleweb Hunter,https://www.wow-petopia.com/npc.php?id=136341, N
Vol'dun,Scorpid,Scorpox,https://www.wow-petopia.com/npc.php?id=136336, N
Dread Wastes,Aqiri,Akkolon,https://www.wow-petopia.com/npc.php?id=66783, N
Dread Wastes,Aqiri,Karanosh,https://www.wow-petopia.com/npc.php?id=64724, N
Dread Wastes,Crocolisk,Coldbite Matriarch,https://www.wow-petopia.com/npc.php?id=62008, N
Dread Wastes,Water Strider,Hexapos,https://www.wow-petopia.com/npc.php?id=50960, N
Dread Wastes,Shale Beast,Kypa'rak,https://www.wow-petopia.com/npc.php?id=65229, N
Dread Wastes,Oxen,Pengsong,https://www.wow-petopia.com/npc.php?id=66587, N
Highmountain,Bird of Prey,Ala'washte,https://www.wow-petopia.com/npc.php?id=104481, N
Highmountain,Bird of Prey,Crawshuk the Hungry,https://www.wow-petopia.com/npc.php?id=97345, N
Highmountain,Bird of Prey,Irewing,https://www.wow-petopia.com/npc.php?id=95762, N
Highmountain,Bear,Arru,https://www.wow-petopia.com/npc.php?id=97220, N
Highmountain,Bear,Bristlemaul,https://www.wow-petopia.com/npc.php?id=97449, N
Highmountain,Bear,Slumber,https://www.wow-petopia.com/npc.php?id=98890, N
Highmountain,Stag,Morashu,https://www.wow-petopia.com/npc.php?id=94694, N
Highmountain,Cat,Rashar,https://www.wow-petopia.com/npc.php?id=97454, N
Highmountain,Cat,Sekhan,https://www.wow-petopia.com/npc.php?id=101077, N
Highmountain,Basilisk,Spinesever,https://www.wow-petopia.com/npc.php?id=100841, N
Highmountain,Crab,Tamed Coralback,https://www.wow-petopia.com/npc.php?id=97928, N
Highmountain,Mechanical,Treble,https://www.wow-petopia.com/npc.php?id=107951, N
Darkshore,Chimaera,Alash'anir,https://www.wow-petopia.com/npc.php?id=148787, N
Darkshore,Tallstrider,Fleetfoot,https://www.wow-petopia.com/npc.php?id=32997, N
Darkshore,Tallstrider,Strider Clutchmother,https://www.wow-petopia.com/npc.php?id=2172, N
Darkshore,Crab,Glimmerspine,https://www.wow-petopia.com/npc.php?id=149654, N
Darkshore,Cat,Shadowclaw,https://www.wow-petopia.com/npc.php?id=2175, N
Darkshore,Cat,Shadowclaw,https://www.wow-petopia.com/npc.php?id=149663, N
Western Plaguelands,Bird of Prey,Alit,https://www.wow-petopia.com/npc.php?id=50345, N
Western Plaguelands,Beetle,Aphis,https://www.wow-petopia.com/npc.php?id=51058, N
Western Plaguelands,Boar,Hamhide,https://www.wow-petopia.com/npc.php?id=50937, N
Western Plaguelands,Carrion Bird,Heress,https://www.wow-petopia.com/npc.php?id=50809, N
Western Plaguelands,Spider,Ironweb,https://www.wow-petopia.com/npc.php?id=50778, N
Western Plaguelands,Bear,Mange,https://www.wow-petopia.com/npc.php?id=50931, N
Western Plaguelands,Wasp,Mutilax,https://www.wow-petopia.com/npc.php?id=50906, N
Western Plaguelands,Worm,Parasitus,https://www.wow-petopia.com/npc.php?id=51029, N
Western Plaguelands,Hound,Tracker,https://www.wow-petopia.com/npc.php?id=51031, N
Western Plaguelands,Wolf,Warg,https://www.wow-petopia.com/npc.php?id=50922, N
Hillsbrad Foothills,Bird of Prey,Alitus,https://www.wow-petopia.com/npc.php?id=50335, N
Hillsbrad Foothills,Cat,Araga,https://www.wow-petopia.com/npc.php?id=14222, N
Hillsbrad Foothills,Cat,The Dark Prowler,https://www.wow-petopia.com/npc.php?id=50818, N
Hillsbrad Foothills,Bear,Big Samras,https://www.wow-petopia.com/npc.php?id=14280, N
Hillsbrad Foothills,Bear,Little Bjorn,https://www.wow-petopia.com/npc.php?id=50929, N
Hillsbrad Foothills,Crab,Carcinak,https://www.wow-petopia.com/npc.php?id=50955, N
Hillsbrad Foothills,Worm,Chordix,https://www.wow-petopia.com/npc.php?id=51022, N
Hillsbrad Foothills,Turtle,Cranky Benj,https://www.wow-petopia.com/npc.php?id=14223, N
Hillsbrad Foothills,Crocolisk,Craw the Ravager,https://www.wow-petopia.com/npc.php?id=50967, N
Hillsbrad Foothills,Spider,Creepthess,https://www.wow-petopia.com/npc.php?id=14279, N
Hillsbrad Foothills,Spider,Miasmiss,https://www.wow-petopia.com/npc.php?id=50765, N
Hillsbrad Foothills,Moth,Dustwing,https://www.wow-petopia.com/npc.php?id=50858, N
Hillsbrad Foothills,Fox,Lopex,https://www.wow-petopia.com/npc.php?id=51076, N
Hillsbrad Foothills,Beetle,Weevil,https://www.wow-petopia.com/npc.php?id=51057, N
Dragonblight,Bird of Prey,Alystros the Verdant Keeper,https://www.wow-petopia.com/npc.php?id=27249, N
Dragonblight,Carrion Bird,Dreadtalon,https://www.wow-petopia.com/npc.php?id=26838, N
Dragonblight,Crab,Kili'ua,https://www.wow-petopia.com/npc.php?id=26521, N
Dragonblight,Worm,Rattlebore,https://www.wow-petopia.com/npc.php?id=26360, N
Dragonblight,Mammoth,Tukemuth,https://www.wow-petopia.com/npc.php?id=32400, N
Shadowmoon Valley - Draenor,Chimaera,Amaukwa,https://www.wow-petopia.com/npc.php?id=77140, Y
Shadowmoon Valley - Draenor,Courser,Argyle,https://www.wow-petopia.com/npc.php?id=81307, N - horde only
Shadowmoon Valley - Draenor,Courser,Preston,https://www.wow-petopia.com/npc.php?id=81306, N - horde only
Shadowmoon Valley - Draenor,Bird of Prey,Darktalon,https://www.wow-petopia.com/npc.php?id=82411, Y
Shadowmoon Valley - Draenor,Spirit Beast,Gara,https://www.wow-petopia.com/npc.php?id=88708, N - https://www.wowhead.com/npc=88708/gara#comments step3
Shadowmoon Valley - Draenor,Mammoth,Great-Tusk,https://www.wow-petopia.com/npc.php?id=87083, Y
Shadowmoon Valley - Draenor,Mammoth,Kuu'rat,https://www.wow-petopia.com/npc.php?id=75484, Y
Shadowmoon Valley - Draenor,Hopper,Hypnocroak,https://www.wow-petopia.com/npc.php?id=79524, Y
Shadowmoon Valley - Draenor,Warp Stalker,Insha'tar,https://www.wow-petopia.com/npc.php?id=83553, Y
Shadowmoon Valley - Draenor,Wolf,Killmaw,https://www.wow-petopia.com/npc.php?id=74206, Y
Shadowmoon Valley - Draenor,Wasp,Kliaa,https://www.wow-petopia.com/npc.php?id=76438, Y
Shadowmoon Valley - Draenor,Stag,Maa'run,https://www.wow-petopia.com/npc.php?id=76442, Y
Shadowmoon Valley - Draenor,Riverbeast,Rockhoof,https://www.wow-petopia.com/npc.php?id=72606, Y
Shadowmoon Valley - Draenor,Sporebat,Veloss,https://www.wow-petopia.com/npc.php?id=75482, Y
Deepholm,Shale Beast,Amthea,https://www.wow-petopia.com/npc.php?id=47072, N
Deepholm,Shale Beast,Jadefang,https://www.wow-petopia.com/npc.php?id=49822, N
Deepholm,Shale Beast,Terborus,https://www.wow-petopia.com/npc.php?id=50060, N
Deepholm,Bat,Blood Seeker,https://www.wow-petopia.com/npc.php?id=3868, N
Deepholm,Basilisk,Gorgonite,https://www.wow-petopia.com/npc.php?id=43339, N
Uldum,Bird of Prey,Anaua,https://www.wow-petopia.com/npc.php?id=151883, N
Uldum,Aqiri,Anq'uri the Titanic,https://www.wow-petopia.com/npc.php?id=155703, N
Uldum,Aqiri,Aqir Titanus,https://www.wow-petopia.com/npc.php?id=154576, N
Uldum,Aqiri,Lord Aj'qirai,https://www.wow-petopia.com/npc.php?id=154604, N
Uldum,Aqiri,R'krox the Runt,https://www.wow-petopia.com/npc.php?id=162173, N
Uldum,Aqiri,Vuk'laz the Earthbreaker,https://www.wow-petopia.com/npc.php?id=160970, N
Uldum,Wasp,Corpse Eater,https://www.wow-petopia.com/npc.php?id=162147, N
Uldum,Wasp,Skikx'traz,https://www.wow-petopia.com/npc.php?id=162140, N
Uldum,Cat,Ekashim,https://www.wow-petopia.com/npc.php?id=157121, N
Uldum,Cat,Senbu the Pridefather,https://www.wow-petopia.com/npc.php?id=151948, N
Uldum,Crocolisk,Gorebite,https://www.wow-petopia.com/npc.php?id=46278, N
Uldum,Crocolisk,Khamen,https://www.wow-petopia.com/npc.php?id=46281, N
Uldum,Crocolisk,Thartep,https://www.wow-petopia.com/npc.php?id=46280, N
Uldum,Scorpid,Madexx,https://www.wow-petopia.com/npc.php?id=50154, N
Uldum,Scorpid,Madexx,https://www.wow-petopia.com/npc.php?id=51403, N
Uldum,Scorpid,Madexx,https://www.wow-petopia.com/npc.php?id=51404, N
Uldum,Scorpid,Madexx,https://www.wow-petopia.com/npc.php?id=51402, N
Uldum,Scorpid,Madexx,https://www.wow-petopia.com/npc.php?id=51401, N
Uldum,Beetle,Qho,https://www.wow-petopia.com/npc.php?id=162142, N
Uldum,Hyena,Skarf,https://www.wow-petopia.com/npc.php?id=45204, N
Uldum,Hyena,Tat the Bonechewer,https://www.wow-petopia.com/npc.php?id=152657, N
Suramar,Hopper,Anax,https://www.wow-petopia.com/npc.php?id=111197, N
Suramar,Basilisk,Baconlisk,https://www.wow-petopia.com/npc.php?id=103787, N
Suramar,Basilisk,Managazer,https://www.wow-petopia.com/npc.php?id=103808, N
Suramar,Wolf,Gloomfang,https://www.wow-petopia.com/npc.php?id=104226, N
Suramar,Wolf,Maia the White,https://www.wow-petopia.com/npc.php?id=112497, N
Suramar,Feathermane,Lalathin,https://www.wow-petopia.com/npc.php?id=121540, N
Suramar,Feathermane,Rauren,https://www.wow-petopia.com/npc.php?id=105547, N
Suramar,Turtle,Mar'tura,https://www.wow-petopia.com/npc.php?id=112802, N
Suramar,Spirit Beast,Myonix,https://www.wow-petopia.com/npc.php?id=110340, N
Suramar,Spirit Beast,Pashya,https://www.wow-petopia.com/npc.php?id=113694, N
Suramar,Crab,Pinchshank,https://www.wow-petopia.com/npc.php?id=107846, N
Suramar,Crab,Tideclaw,https://www.wow-petopia.com/npc.php?id=110824, N
Suramar,Bird of Prey,Shadowquill,https://www.wow-petopia.com/npc.php?id=103841, N
Nazmir,Crocolisk,Ancient Jawbreaker,https://www.wow-petopia.com/npc.php?id=125250, N
Nazmir,Crocolisk,Venomjaw,https://www.wow-petopia.com/npc.php?id=126926, N
Nazmir,Serpent,Ayame,https://www.wow-petopia.com/npc.php?id=133980, N
Nazmir,Raptor,Bajiatha,https://www.wow-petopia.com/npc.php?id=126142, N
Nazmir,Raptor,Scrounger Patriarch,https://www.wow-petopia.com/npc.php?id=127873, N
Nazmir,Raptor,Zanxib,https://www.wow-petopia.com/npc.php?id=133812, N
Nazmir,Devilsaur,Gruesh,https://www.wow-petopia.com/npc.php?id=128051, N
Nazmir,Devilsaur,Urok,https://www.wow-petopia.com/npc.php?id=123757, N
Nazmir,Devilsaur,Vilebone Ravager,https://www.wow-petopia.com/npc.php?id=134852, N
Nazmir,Direhorn,Infected Direhorn,https://www.wow-petopia.com/npc.php?id=124399, N
Nazmir,Direhorn,Juba the Scarred,https://www.wow-petopia.com/npc.php?id=133527, N
Nazmir,Direhorn,Tojek,https://www.wow-petopia.com/npc.php?id=136381, N
Nazmir,Pterrordax,Jarkadiax,https://www.wow-petopia.com/npc.php?id=126703, N
Nazmir,Pterrordax,Kal'draxa,https://www.wow-petopia.com/npc.php?id=124397, N
Nazmir,Pterrordax,Makatau,https://www.wow-petopia.com/npc.php?id=143898, N
Nazmir,Gorilla,King Kooba,https://www.wow-petopia.com/npc.php?id=129005, N
Nazmir,Crab,Krubbs,https://www.wow-petopia.com/npc.php?id=125214, N
Nazmir,Riverbeast,Lo'kuno,https://www.wow-petopia.com/npc.php?id=133539, N
Nazmir,Spider,Lucille,https://www.wow-petopia.com/npc.php?id=134296, N
Nazmir,Hound,Milo,https://www.wow-petopia.com/npc.php?id=139563, N
Nazmir,Hound,Spitz,https://www.wow-petopia.com/npc.php?id=139562, N
Nazmir,Lizard,Overstuffed Saurolisk,https://www.wow-petopia.com/npc.php?id=124375, N
Nazmir,Wasp,Queen Tzxi'kik,https://www.wow-petopia.com/npc.php?id=128974, N
Vale of Eternal Blossoms,Stone Hound,Anh-De the Loyal,https://www.wow-petopia.com/npc.php?id=157466, N
Vale of Eternal Blossoms,Stone Hound,Jade Watcher,https://www.wow-petopia.com/npc.php?id=157290, N
Vale of Eternal Blossoms,Stone Hound,Portent,https://www.wow-petopia.com/npc.php?id=50843, N
Vale of Eternal Blossoms,Stone Hound,Rusan,https://www.wow-petopia.com/npc.php?id=158409, N
Vale of Eternal Blossoms,Stone Hound,Wulon,https://www.wow-petopia.com/npc.php?id=63510, N
Vale of Eternal Blossoms,Spider,Bloodtip,https://www.wow-petopia.com/npc.php?id=58474, N
Vale of Eternal Blossoms,Wolf,Cracklefang,https://www.wow-petopia.com/npc.php?id=58768, N
Vale of Eternal Blossoms,Wolf,Stormhowl,https://www.wow-petopia.com/npc.php?id=157279, N
Vale of Eternal Blossoms,Aqiri,Destroyer Krox'tazar,https://www.wow-petopia.com/npc.php?id=160872, N
Vale of Eternal Blossoms,Lesser Dragonkin,Haofeng,https://www.wow-petopia.com/npc.php?id=157341, N
Vale of Eternal Blossoms,Lesser Dragonkin,Milau,https://www.wow-petopia.com/npc.php?id=64965, N
Vale of Eternal Blossoms,Lesser Dragonkin,Rei Lun,https://www.wow-petopia.com/npc.php?id=157162, N
Vale of Eternal Blossoms,Crab,Kalan'ii,https://www.wow-petopia.com/npc.php?id=50958, N
Vale of Eternal Blossoms,Scorpid,Kri'chon,https://www.wow-petopia.com/npc.php?id=63978, N
Vale of Eternal Blossoms,Hound,Sanguifang,https://www.wow-petopia.com/npc.php?id=156083, N
Dustwallow Marsh,Wind Serpent,Anith,https://www.wow-petopia.com/npc.php?id=50784, N
Dustwallow Marsh,Wind Serpent,Hayoc,https://www.wow-petopia.com/npc.php?id=14234, N
Dustwallow Marsh,Serpent,Blinkeye the Rattler,https://www.wow-petopia.com/npc.php?id=50735, N
Dustwallow Marsh,Spider,Darkmist Broodqueen,https://www.wow-petopia.com/npc.php?id=45227, N
Dustwallow Marsh,Spider,Darkmist Widow,https://www.wow-petopia.com/npc.php?id=4380, N
Dustwallow Marsh,Spider,Paraliss,https://www.wow-petopia.com/npc.php?id=50764, N
Dustwallow Marsh,Raptor,Dart,https://www.wow-petopia.com/npc.php?id=14232, N
Dustwallow Marsh,Raptor,Goreclaw the Ravenous,https://www.wow-petopia.com/npc.php?id=23873, N
Dustwallow Marsh,Raptor, Nychus,https://www.wow-petopia.com/npc.php?id=50875, N
Dustwallow Marsh,Crocolisk,Deadmire,https://www.wow-petopia.com/npc.php?id=4841, N
Dustwallow Marsh,Crocolisk,Ripscale,https://www.wow-petopia.com/npc.php?id=14233, N
